wallet_id,score
0x0039f22efb07a647557c7c5d17854cfd6d489ef3,514
0x06b51c6882b27cb05e712185531c1f74996dd9,425
0x0795732aacc448030ef374374eaae57d2965c16c,681
0x0aaa79f1a86bc8136cd0d1ca0d51964f4e376669,650
0x0fe383e5abc200055a7f391f94a5f5d1f844b9ae,628
0x104ae61d8d487ad689969a17807ddc338b445416,542
0x111c7208a7e2af345d36b6d4aace8740d61a3078,504
0x124853fecb522c57d9bd5c21231058696ca6d596,489
0x13b1c8b0e696aff8b4fee742119b549b605f3cbc,832
0x1656f1886c5ab634ac19568cd571bc72f385fdf7,432
0x1724e16cb8d0e2aa4d08035bc6b5c56b680a3b22,430
0x19df3e87f73c4aaf4809295561465b993e102668,495
